laAccount,laRegisteredAtSlotNo,laUnregisteredAtSlotNo,laStakePoolDelegation,laDRepDelegation,laLastDelegationSlotNo,laLastWithdrawalSlotNo,laLastAddressOwnerActivitySlotNo,laLastAddressActivitySlotNo,laCurrentStake,laCurrentRewards
keyHash-dc43c65054308715a31d8e942828a922976c006ed5492df9df01ce23,148851316,,c2c52eab0d713209b337d8ff8fe28e1ccae2f70eb7ed1ee27e8c866a,,148851316,,149807892,149807892,0.000000,0.000000
keyHash-dc4d3d2f1af5430a217134963d67cc5de07adf30266ff451e3cd14dd,148456493,,5b60373e718a3647ec57f610b9942f91286748ddeaa0ad226acb927b,,148456493,,148456493,148456493,0.000000,0.000000
keyHash-dc535d7ec9e6544ec410020b21c05c55e67caadc9f72e7ff56e45e10,148953473,,970e9a7ae4677b152c27a0eba3db996b372de094d24fc2974768f3da,,149383911,,149828776,149383911,0.000000,0.000000
keyHash-dc569aeae35f4790dd7d99f655a0b880cc5a4ca743315fcae9b4f8d8,148827540,,1ec2c7dde1ce090ee2e75c9fa618c575b8a0b77eaeec5c7266f50aca,,149667737,,149667737,149667737,0.000000,0.000000
keyHash-dc60f41faa978afce30d2907e9a5c6c112f1b9f257929980a418ab57,150081352,,4744b317cba46d5f247e51d4df3d72c9e2a8b18231c30ba1708bd65b,,150081352,,150081352,150081352,0.000000,0.000000
keyHash-dc661ef3ea6b6143dbdfc15aa14b409d9e8ede5012a6eb7967764a16,149418862,,f84aed8cedb63195f68ec94a59b3e9b979b7eb0dd41085ae945473d7,drep-alwaysAbstain,149418862,,149752505,149755152,0.000000,0.000000
keyHash-dc70203cbe287c54937d56cfcc2d01aaa99790370dfcc7629c9d5ebd,149857423,,f423b19715cca49029ed13ff02a110b63de7d96ad7a0536dc5887a41,,149857423,,149857423,149857423,0.000000,0.000000
keyHash-dc76118d45e3a6796415936763c4bca2309d3edd22fc19d69c8243b3,148143384,,f0e505f8f0d7beccffe83c287d0d2ff6a46ec5d38345e8bd35359427,,148143384,,148143384,148143384,0.000000,0.000000
keyHash-dc85c3046ea77bc589cca34936695147b9aeec59d2578eb6933387c2,149318955,,dbda39c8d064ff9801e376f8350efafe67c07e9e9244dd613aee5125,drep-keyHash-9dfb13e6396f205af8cc97d09e0d7112197d3e5377c1013928cdfc5f,149395268,,149395268,149395268,0.000000,0.000000
keyHash-dc871a1312ecb03f4e74e728a92ef71e50b235e25b8d4914929a25aa,148190982,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,148190982,,148581328,149402393,0.000000,0.000000
keyHash-dc94d702f3e50441713718e3e14f8cecedb2df657c2615d34e73bacf,149982639,,120ccc012f6b2ef1669acb15d2499cc9a226b6374184d1e322b1aa5f,drep-alwaysAbstain,149982639,,149982639,149982639,0.000000,0.000000
keyHash-dc9882939a8c8f73acd9d5255911e2a25e5bf42a3aa8161aa7d5fe8b,149860138,,9def0b9497f8d922e633c65e2099e6da8df5e966f201db5c7abcb077,,149860138,,149860138,149860138,0.000000,0.000000
keyHash-dc98e792edb00fa8f4d04bfe5496fe34319ed87a25c55080eb1c0ba3,149379422,,ac2d2d66a30cbb3163e68a7073bcd3f9cdd4a11a8af6e2c5653402c7,drep-alwaysAbstain,149379422,,149379422,149379422,0.000000,0.000000
keyHash-dc9afa9b5dd84e6981ec3034d6c494c4ac42553930109d0065f9cf95,148839100,,f84aed8cedb63195f68ec94a59b3e9b979b7eb0dd41085ae945473d7,drep-alwaysAbstain,148839100,,148839100,148839100,0.000000,0.000000
keyHash-dca2325c30e48957c93e5cae3bab58cb08e871bb4d096330ae79c354,148899873,149366281,,,148899873,,149367171,149366727,0.000000,0.000000
keyHash-dca5cea4668906fb246d047edd3ebeda3bba05e6c446c3afd173e773,149381280,,159bd971439653da2b97d12facae06ff5e6d7410d074edaab425202b,drep-keyHash-55215f98aa7d9e289d215a55f62d258c6c3a71ab847b76de9ddbe661,149498759,,149990632,149990632,0.000000,0.000000
keyHash-dcb179ec894b6c9ccec488a82a0308ec1d469b85f6cf4652b816006f,148158443,,9def0b9497f8d922e633c65e2099e6da8df5e966f201db5c7abcb077,,148158443,,148158443,148158443,0.000000,0.000000
keyHash-dcb4dc2a2d1f3cdab245f23d47df5a1444b71c158f56190ac4f4f95c,149806910,,edfa208d441511f9595ba80e8f3a7b07b6a80cbc9dda9d8e9d1dc039,,149806910,,149806910,149806910,0.000000,0.000000
keyHash-dcb648ae9f16a1771bf3f42e04415a9bfee0323faa095998a7f45065,149786611,,d058aaaeea58887b79ecb57708d1694bd323276a6b54185bd86415e7,,149786611,,149786611,149786611,0.000000,0.000000
keyHash-dcb8f95bd0fbd0631eba500fc9528b98674188a5ba60ecf5699bb78b,149374822,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,149374822,,149374822,149374822,0.000000,0.000000
keyHash-dcb901fcce8c84a194ee02fb603d817bce81e570df705e4a5b5e7e3d,149377131,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,149377131,,149377131,149377131,0.000000,0.000000
keyHash-dcb944aac54dcc0adaed0ffbf49980f1466c7fc4a27303b6f047c63b,148335104,,4744b317cba46d5f247e51d4df3d72c9e2a8b18231c30ba1708bd65b,,148335104,,148335104,148335104,0.000000,0.000000
keyHash-dcbc50408eac43e6e06e958e59e7f4f5055a2e12cb4d8aa59e0502d7,149884910,,120ccc012f6b2ef1669acb15d2499cc9a226b6374184d1e322b1aa5f,drep-alwaysAbstain,149884910,,149970598,149970598,0.000000,0.000000
keyHash-dcc43e1d28535a5b333c513afec8d85c4ae26f0372c01e45963e1909,149356308,149375123,,,149356308,,149375461,149375123,0.000000,0.000000
keyHash-dcde77b1be77561fd1ddc561f8105e34a4a442c752dd78235bbbddfa,148488655,,8db4b0de498200d07aeaf06a63e87cc5f0d428cff47fc71c336de3d9,,148488655,,149159791,149159791,0.000000,0.000000
keyHash-dce87e9ca6ba009cfeb8c10fb31740092be915e1d7fbd5aa6f5ce1bf,148924954,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,148924954,,148924954,148924954,0.000000,0.000000
keyHash-dd03904e26243ec162aec17099e83c3821ff328a6c708e82271ff27e,148683378,,087cb9a9dab66751853893b0de0628aee88c36f82fd0c1ee3b998548,,148683378,,149387736,149387736,0.000000,0.000000
keyHash-dd04a1dd5527459a3dbe721c653b3e41035fb56098d01b596a9232e3,149983663,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,149983663,,149983663,149983663,0.000000,0.000000
keyHash-dd0bd75f12ed58f23514c13195fb17342fb3e132af8d1a1e9bbc96b7,148522723,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,148522723,,148522723,148522723,0.000000,0.000000
keyHash-dd0c762e5d99130e4ed6e2e9f21b794bc549495078de3d7407b5602d,149716083,149882700,,,149716083,,149882948,149882700,0.000000,0.000000
keyHash-dd132d43344fc9bec17964d30b4e6575fb7f06d3c000e564d8479352,149505159,,6b51a5aae5b4b5f07f38acf12816b4f8a558ee2840d0dba69040aeb2,,149505159,,149505159,149505715,0.000000,0.000000
keyHash-dd1815df0f1890f7e396041bc2d9c9c22d53abbf5e3604edc483f6ec,148758152,148759201,,,148758152,,148759201,148759201,0.000000,0.000000
keyHash-dd1de552543289e520aa8107c0451091ae63ed749eee06b22681110f,150068649,,120ccc012f6b2ef1669acb15d2499cc9a226b6374184d1e322b1aa5f,drep-alwaysAbstain,150068649,,150068649,150068649,0.000000,0.000000
keyHash-dd27d29e49755ac10f1c794caabed16d378f01a35ab82ad234819a66,148904900,,0ef7aa564933ce75b695cdad66be4a39b43a22726de7c58908e0e033,,148904900,,148904900,149183572,0.000000,0.000000
keyHash-dd3be81ce26ce15b7c327bf57aeb6b288773aa2d2add8f14e369e065,148423467,,4744b317cba46d5f247e51d4df3d72c9e2a8b18231c30ba1708bd65b,,148423467,,148423467,148423467,0.000000,0.000000
keyHash-dd3d09f0b49e137fa51b16eb6783ee3da422feebeb020511cddab3e2,149415674,,120ccc012f6b2ef1669acb15d2499cc9a226b6374184d1e322b1aa5f,drep-alwaysAbstain,149415674,,149415674,149415674,0.000000,0.000000
keyHash-dd462027d5d298625269fb2cbbbd78094c692d989580c20c1e8b1f5d,148904598,,4744b317cba46d5f247e51d4df3d72c9e2a8b18231c30ba1708bd65b,,148904598,,149445529,149445529,0.000000,0.000000
keyHash-dd54872e51a0f8972df3b235448df3c68257c216a030b5cb7e3179f1,148371919,,8db4b0de498200d07aeaf06a63e87cc5f0d428cff47fc71c336de3d9,,148371919,,149249379,148371919,0.000000,0.000000
keyHash-dd5ae34ef330cf615a55ef67903b28607122f5f23a39dc276196e004,149414884,,38ee2f8d878f7c444bd80d38c3b4cff02d3a3477c9e77d262065d9ad,,149414884,,149414884,149414884,0.000000,0.000000
keyHash-dd6378ab67fdf6c531a5d3f18f65a835f053488ad79edac47fc14406,148664835,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,148664835,,148664835,149169433,0.000000,0.000000
keyHash-dd648f955a39268ad1d28da2a5e205e6377c959d97a13b9dff37bb64,148409355,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,148409355,,148409355,148409355,0.000000,0.000000
keyHash-dd74aaecb53534c83b89a1435656d5b0cfab5d9369279075b19b662f,149551265,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,149551265,,149551265,149551265,0.000000,0.000000
keyHash-dd7b6680fb1c842552938562010b3790f6d98fc5399d98f20dcbc695,148854098,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,148854098,,148854098,148854098,0.000000,0.000000
keyHash-dd7fd259fb966291229670ccb8d8505379b322124726518b81691d7a,149454193,,4744b317cba46d5f247e51d4df3d72c9e2a8b18231c30ba1708bd65b,,149454193,,149454193,149454193,0.000000,0.000000
keyHash-dd85f79f7dfc3b2a2681dce6d97f88823c561b304f15ea32ce807258,149449967,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,149451591,,149451591,149451591,0.000000,0.000000
keyHash-dd9ccf1e966981a9730f488bf932bf6fe2220ccea2a4e1a0d02372ad,148096923,,9def0b9497f8d922e633c65e2099e6da8df5e966f201db5c7abcb077,,148096923,,148096923,148096923,0.000000,0.000000
keyHash-ddb0646c10bd88c580cd9515057d197c1a23a3fbca9e9ac6ce5a8396,149611948,,120ccc012f6b2ef1669acb15d2499cc9a226b6374184d1e322b1aa5f,drep-alwaysAbstain,149611948,,149611948,149611948,0.000000,0.000000
keyHash-ddd6e1323fc99bba2df40600f801767fb3610f946ab1bdea1f039c02,148839678,,4744b317cba46d5f247e51d4df3d72c9e2a8b18231c30ba1708bd65b,,148839678,,148839678,148839678,0.000000,0.000000
keyHash-ddd7962ec4c7a7b376e49eeaa0c8630572507b7fe741c11c204c25f1,149413389,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,149896791,,149896791,149896791,0.000000,0.000000
keyHash-ddda3a2890ae45ef57d5a3354436e6019d7cb2d55c1bc9d7085efadb,149856018,,65ea43eab7c0143d6bb68f9d56c276bce09377bdc41e1a42ac9535ed,drep-alwaysAbstain,149856018,,149856699,149856699,0.000000,0.000000
keyHash-ddedc6745cc4f075f595248b1ba98b31016ae002b5b8e98c3b151fbd,149794001,,ac2d2d66a30cbb3163e68a7073bcd3f9cdd4a11a8af6e2c5653402c7,,149794001,,149794001,149794001,0.000000,0.000000
keyHash-ddf30ea57ab5466ae98c9f7f91a9cc397643f495c0bcf4d35de70dcb,149581803,149702244,,,149702025,,149964340,149965277,0.000000,0.000000
keyHash-de0333ca2587b145d55ff3ff32a82c8e796738c8e4eb8791c430bea7,149310444,,f84aed8cedb63195f68ec94a59b3e9b979b7eb0dd41085ae945473d7,drep-alwaysAbstain,149310444,,149310444,149310444,0.000000,0.000000
keyHash-de0a014b1c56052f111c5f69018a11b235545007d40a5f90d680cc2b,148790894,,9def0b9497f8d922e633c65e2099e6da8df5e966f201db5c7abcb077,,148790894,,149025723,149479841,0.000000,0.000000
keyHash-de13b43fa20b5f298925feb92ecbdfcb64a7a8785207695dc8f14a82,148140729,,120ccc012f6b2ef1669acb15d2499cc9a226b6374184d1e322b1aa5f,drep-alwaysAbstain,148140729,,148140729,148140729,0.000000,0.000000
keyHash-de159c80fe24903d9354b0d257d306b9a05018f25d3081e26bd526e0,148747980,,120ccc012f6b2ef1669acb15d2499cc9a226b6374184d1e322b1aa5f,drep-alwaysAbstain,148747980,,148747980,148747980,0.000000,0.000000
keyHash-de19daadffc1525090d2eb2d952158dc5a68433870b892ab66a01d8a,149687355,,6658713e2cbfa4e347691a0435953f5acbe9f03d330e94caa3a0cfb4,,149687355,,149687355,149687355,0.000000,0.000000
keyHash-de20f0ffe8f46f10b5b15108debf9638257a86521dadee4681356040,149163825,,9def0b9497f8d922e633c65e2099e6da8df5e966f201db5c7abcb077,,149163825,,149163825,149163825,0.000000,0.000000
keyHash-de21e33845bae4bacbb1cb287796f7f62d25a451d6059bca2dc32c46,149019618,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,149019618,,149019618,149019618,0.000000,0.000000
keyHash-de2c39b70f58f442c74e45027def964a08708dc90c2a389b033cb35b,148493874,,ea7cdd8918204b6c53e41ac6b0c319a1ffa95312660eeeb2ced8be3a,drep-alwaysAbstain,148493874,,148495174,148493874,0.000000,0.000000
keyHash-de3c6dabb2ea0668898d0e6fc1273ebccaa7dbfcc2ef6bbce69c95b1,148246346,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,148246346,,148246346,148246346,0.000000,0.000000
